"Season","Team","H","HR","R","BB","SO","AVG","OBP","SLG","OPS","ISO","BABIP","wOBA","wRC","wRCplus"
"2017","Indians","1449","212","818","604","1153",".263",".339",".449",".788",".186",".295",".336","839","105"
"2004","Astros","1459","187","804","590","1000",".267",".342",".436",".778",".169",".293",".336","802","98"
"2002","Angels","1603","152","851","462","805",".282",".341",".433",".773",".150",".303",".336","811","105"
"2009","Brewers","1447","182","785","610","1231",".263",".341",".426",".767",".164",".305",".336","786","103"
"2012","Rangers","1526","200","808","478","1103",".273",".334",".446",".780",".173",".306",".336","813","106"
"2001","Diamondbacks","1494","208","818","587","1052",".267",".341",".442",".783",".175",".294",".336","830","97"
"2017","Yankees","1463","241","858","616","1386",".262",".339",".447",".785",".185",".304",".336","853","108"
"2002","Diamondbacks","1471","165","819","643","1016",".267",".346",".423",".769",".156",".298",".335","805","97"
"2003","Twins","1567","155","801","512","1027",".277",".341",".431",".772",".154",".312",".335","815","102"
"2007","Devil Rays","1500","187","782","545","1324",".268",".336",".433",".769",".165",".318",".335","799","103"
"2002","Mariners","1531","152","814","629","1003",".275",".350",".419",".769",".144",".307",".335","814","110"
"1999","White Sox","1563","162","777","499","810",".277",".337",".429",".766",".152",".297",".335","786","94"
"2018","Yankees","1374","267","851","625","1421",".249",".329",".451",".781",".202",".285",".335","838","111"
"2005","Phillies","1494","167","807","639","1083",".270",".348",".423",".772",".154",".306",".335","804","98"
"2007","Reds","1496","204","783","536","1113",".267",".335",".436",".772",".170",".298",".335","799","94"
"2008","Rays","1443","180","774","626","1224",".260",".340",".422",".762",".162",".302",".335","795","105"
"2001","Cardinals","1469","199","814","529","1089",".270",".339",".441",".780",".172",".302",".335","802","101"
"2010","Twins","1521","142","781","559","967",".273",".341",".422",".762",".148",".306",".335","787","106"
"2008","Indians","1455","171","805","560","1213",".262",".339",".424",".763",".162",".305",".334","790","103"
"2011","Cardinals","1513","162","762","542","978",".273",".341",".425",".766",".151",".305",".334","787","112"
"2006","Twins","1608","143","801","490","872",".287",".347",".425",".771",".138",".316",".334","796","101"
"1999","Tigers","1433","212","747","458","1049",".261",".326",".443",".768",".181",".287",".334","759","92"
"2008","Phillies","1407","214","799","586","1117",".255",".332",".438",".770",".182",".283",".334","778","98"
"1999","Cardinals","1461","194","809","613","1202",".262",".338",".426",".764",".163",".300",".334","787","92"
"2010","Brewers","1471","182","750","546","1216",".262",".335",".424",".759",".161",".304",".334","788","104"
"2000","Red Sox","1503","167","792","611","1019",".267",".341",".423",".764",".156",".297",".334","800","92"
